wkt_geom,DHSID,DHSCC,DHSYEAR,DHSCLUST,CCFIPS,ADM1DHS,ADM1NAME,DHSREGCO,DHSREGNA,SOURCE,URBAN_RURA,LATNUM,LONGNUM,ALT_GPS,ALT_DEM,DATUM,n_mines,avg_dist,rms_dist
Point (32.06630800000004911 -13.89568499999995765),ZM201800000001,ZM,2018,1,ZM,3,Eastern,3,Eastern,GPS,R,-13.895685,32.066308,745,1047,WGS84,0,577.4970506032099,603.929650047553
Point (28.73624800000004598 -13.41920899999996664),ZM201800000002,ZM,2018,2,ZM,2,Copperbelt,2,Copperbelt,GPS,R,-13.419209,28.736248,1308,1305,WGS84,8,452.05921776049587,511.94147875110946
Point (31.13253800000006777 -8.75405499999993708),ZM201800000003,ZM,2018,3,ZM,7,Northern,7,Northern,GPS,U,-8.754055,31.132538,9999,780,WGS84,0,792.9652965960181,846.370410181076
Point (28.44929900000005318 -14.41911199999992732),ZM201800000004,ZM,2018,4,ZM,1,Central,1,Central,GPS,U,-14.419112,28.449299,1181,1185,WGS84,2,456.91959567080283,499.1197070828091
Point (29.96905200000003333 -12.67727499999995189),ZM201800000005,ZM,2018,5,ZM,1,Central,1,Central,GPS,R,-12.677275,29.969052,1224,1197,WGS84,0,502.4550700740397,548.8653761647677
Point (32.74745300000006409 -9.31905399999993733),ZM201800000006,ZM,2018,6,ZM,6,Muchinga,6,Muchinga,GPS,U,-9.319054,32.747453,1635,1657,WGS84,0,827.0728328126493,868.2454494819592
Point (28.70363900000006652 -16.52396599999997306),ZM201800000007,ZM,2018,7,ZM,9,Southern,9,Southern,GPS,U,-16.523966,28.703639,523,527,WGS84,0,497.3380527761344,543.7160678271308
Point (25.1706330000000662 -17.73199699999997847),ZM201800000008,ZM,2018,8,ZM,9,Southern,9,Southern,GPS,R,-17.731997,25.170633,926,932,WGS84,0,693.9513437322946,730.8562654583276
Point (28.68758200000007719 -13.56401499999992666),ZM201800000009,ZM,2018,9,ZM,2,Copperbelt,2,Copperbelt,GPS,R,-13.564015,28.687582,1017,1291,WGS84,0,451.52337649578595,508.52743125286486
Point (25.83531700000003184 -17.86233599999997068),ZM201800000010,ZM,2018,10,ZM,9,Southern,9,Southern,GPS,U,-17.862336,25.835317,887,908,WGS84,0,658.5289745928231,701.809957509991
Point (31.00999900000005027 -12.67926199999993742),ZM201800000011,ZM,2018,11,ZM,6,Muchinga,6,Muchinga,GPS,R,-12.679262,31.009999,1450,1574,WGS84,0,549.4909445501783,582.065022163786
Point (33.21850300000005518 -12.39080099999995355),ZM201800000012,ZM,2018,12,ZM,3,Eastern,3,Eastern,GPS,R,-12.390801,33.218503,1193,1170,WGS84,2,689.2192320722667,718.9655527251882
Point (29.4741430000000264 -10.75179099999996879),ZM201800000013,ZM,2018,13,ZM,7,Northern,7,Northern,GPS,R,-10.751791,29.474143,1201,1232,WGS84,1,581.1075452544816,653.1413508703023
Point (31.26560000000006312 -8.86176399999993691),ZM201800000014,ZM,2018,14,ZM,7,Northern,7,Northern,GPS,R,-8.861764,31.2656,9999,1563,WGS84,0,789.5477964824913,841.533261176315
Point (29.60284400000006144 -13.64070399999997107),ZM201800000015,ZM,2018,15,ZM,1,Central,1,Central,GPS,R,-13.640704,29.602844,1091,1431,WGS84,1,470.5285192732602,511.07388307004874
Point (28.65796600000004446 -10.51977299999992965),ZM201800000016,ZM,2018,16,ZM,4,Luapula,4,Luapula,GPS,U,-10.519773,28.657966,967,969,WGS84,0,578.9172686459293,668.2644948415082
Point (29.53912300000007463 -11.51650099999994836),ZM201800000017,ZM,2018,17,ZM,4,Luapula,4,Luapula,GPS,R,-11.516501,29.539123,1206,1215,WGS84,0,535.891548743883,602.5935990217588
Point (22.03566600000004883 -15.24197099999997818),ZM201800000018,ZM,2018,18,ZM,10,Western,10,Western,GPS,R,-15.241971,22.035666,1023,1049,WGS84,0,864.1679884896434,895.6558748939923
Point (26.40612300000003643 -12.18093099999993001),ZM201800000020,ZM,2018,20,ZM,8,North Western,8,North Western,GPS,U,-12.180931,26.406123,1345,1348,WGS84,5,523.4694777153572,624.4030462335285
Point (31.35588000000007014 -11.29182799999995268),ZM201800000021,ZM,2018,21,ZM,6,Muchinga,6,Muchinga,GPS,R,-11.291828,31.35588,1086,1389,WGS84,0,627.1110304879757,666.8983133719265
Point (31.36075700000003508 -8.85799299999996492),ZM201800000022,ZM,2018,22,ZM,7,Northern,7,Northern,GPS,U,-8.857993,31.360757,9999,1629,WGS84,0,793.8595456945435,845.014255107891
Point (30.51587200000005851 -11.59309899999993831),ZM201800000023,ZM,2018,23,ZM,6,Muchinga,6,Muchinga,GPS,R,-11.593099,30.515872,1172,1177,WGS84,0,570.8753417307023,618.3453751913821
Point (28.56271500000002561 -14.04894599999994398),ZM201800000024,ZM,2018,24,ZM,1,Central,1,Central,GPS,R,-14.048946,28.562715,1243,1228,WGS84,2,453.2489822554234,500.75420916723704
Point (32.82581000000004678 -14.01875999999992928),ZM201800000025,ZM,2018,25,ZM,3,Eastern,3,Eastern,GPS,R,-14.01876,32.82581,885,902,WGS84,0,622.0121262901807,651.6985775604395
Point (31.12506300000006831 -8.76397999999994681),ZM201800000026,ZM,2018,26,ZM,7,Northern,7,Northern,GPS,U,-8.76398,31.125063,9999,811,WGS84,0,791.8439085074807,845.3025746624227
Point (24.78735700000004272 -13.16563799999994444),ZM201800000027,ZM,2018,27,ZM,8,North Western,8,North Western,GAZ,R,-13.165638,24.787357,9999,1170,WGS84,0,619.9635835773382,685.7403728834248
Point (28.71047400000003336 -15.50466399999993428),ZM201800000028,ZM,2018,28,ZM,5,Lusaka,5,Lusaka,GPS,R,-15.504664,28.710474,1109,1075,WGS84,2,472.4801948915601,508.28550041359114
Point (28.28197000000005801 -15.4296179999999481),ZM201800000029,ZM,2018,29,ZM,5,Lusaka,5,Lusaka,GPS,U,-15.429618,28.28197,1283,1280,WGS84,5,474.2763491417687,510.88476345094006
Point (22.73359600000003411 -13.06565099999994572),ZM201800000030,ZM,2018,30,ZM,8,North Western,8,North Western,GPS,R,-13.065651,22.733596,9999,1094,WGS84,0,795.3756281369131,849.5319984535981
Point (27.96515700000003335 -15.82115099999992935),ZM201800000031,ZM,2018,31,ZM,9,Southern,9,Southern,GPS,R,-15.821151,27.965157,996,1005,WGS84,8,489.00327212336754,526.7601176958182
Point (31.69301200000006702 -14.06852399999996805),ZM201800000032,ZM,2018,32,ZM,3,Eastern,3,Eastern,GPS,R,-14.068524,31.693012,967,982,WGS84,0,554.3047358134195,580.3602647879279
Point (28.89465300000006209 -11.18957299999993893),ZM201800000034,ZM,2018,34,ZM,4,Luapula,4,Luapula,GPS,U,-11.189573,28.894653,1244,1229,WGS84,3,536.5252344409555,620.2274751083875
Point (28.26736700000003566 -15.36958599999996977),ZM201800000035,ZM,2018,35,ZM,5,Lusaka,5,Lusaka,GPS,U,-15.369586,28.267367,1229,1233,WGS84,5,473.3239523044557,509.8508477282024
Point (28.84548800000004576 -12.08053199999994831),ZM201800000036,ZM,2018,36,ZM,4,Luapula,4,Luapula,GPS,R,-12.080532,28.845488,772,1091,WGS84,0,486.61263071385207,566.431832779586
Point (31.07485000000002628 -9.73637299999995776),ZM201800000037,ZM,2018,37,ZM,7,Northern,7,Northern,GPS,R,-9.736373,31.07485,1114,1393,WGS84,0,713.4093664639109,764.6694551494595
Point (28.41841200000004619 -13.35206299999993007),ZM201800000038,ZM,2018,38,ZM,2,Copperbelt,2,Copperbelt,GPS,R,-13.352063,28.418412,683,1201,WGS84,9,449.2613087036442,516.4089332878787
Point (29.71897700000005216 -8.46111999999993714),ZM201800000039,ZM,2018,39,ZM,7,Northern,7,Northern,GPS,R,-8.46112,29.718977,975,963,WGS84,0,772.9167447306047,842.395400325716
Point (28.88898200000005545 -11.22173899999995683),ZM201800000040,ZM,2018,40,ZM,4,Luapula,4,Luapula,GPS,U,-11.221739,28.888982,1230,1228,WGS84,3,534.3748716895873,618.0934815405647
Point (31.66775800000004892 -9.97311799999994264),ZM201800000041,ZM,2018,41,ZM,7,Northern,7,Northern,GPS,R,-9.973118,31.667758,1237,1241,WGS84,0,724.0973968397909,768.9259009276218
Point (24.45505600000007007 -16.29888599999998178),ZM201800000042,ZM,2018,42,ZM,10,Western,10,Western,GPS,R,-16.298886,24.455056,1040,1030,WGS84,0,687.7547976988004,717.8740090645215
Point (28.28451100000006591 -15.37319699999994782),ZM201800000043,ZM,2018,43,ZM,5,Lusaka,5,Lusaka,GPS,U,-15.373197,28.284511,1231,1238,WGS84,5,473.1698264250602,509.66664886959256
Point (28.18750300000004927 -15.38968399999993153),ZM201800000044,ZM,2018,44,ZM,5,Lusaka,5,Lusaka,GPS,R,-15.389684,28.187503,1247,1238,WGS84,5,474.8556226826113,511.5436487203462
Point (23.18037800000007564 -15.32521799999994982),ZM201800000045,ZM,2018,45,ZM,10,Western,10,Western,GPS,R,-15.325218,23.180378,1034,1021,WGS84,0,765.1134180812395,797.7170078645363
Point (27.0735400000000368 -17.14886099999995395),ZM201800000046,ZM,2018,46,ZM,9,Southern,9,Southern,GPS,R,-17.148861,27.07354,1280,1307,WGS84,2,562.9732451454036,608.5044175358895
